P0,replicate,half_life,half_life_se,right_censored
100,1,12.0,,True
100,2,12.0,,True
100,3,12.0,,True
99,1,7.140764505182397,0.003286863631639836,False
99,2,7.348075278110391,0.0024897989670610355,False
99,3,7.04085590796804,0.0026657364699429996,False
90,1,5.151104589870049,0.005040116674955375,False
90,2,4.784912918604142,0.004908866177370523,False
90,3,4.611404918786956,0.005095928974547872,False
50,1,2.232868467778487,0.005608195163551859,False
50,2,2.1845545587887347,0.0060009610801957,False
50,3,1.950084225358808,0.01059074406686406,False
20,1,2.303871056114417,0.009570839737924417,False
20,2,2.076727328790643,0.015317183128933654,False
20,3,1.552986193932802,0.014217376208381127,False
