plasmid,replicate,colony,biological_replicate,growth_rate
MG1655,c1_1,1,1,1.375465850113729
MG1655,c2_1,2,1,1.332493887438788
MG1655,c3_1,3,1,1.376584564142512
MG1655,c1_2,1,2,1.4175917526113049
MG1655,c2_2,2,2,1.3529155995753768
MG1655,c3_2,3,2,1.3512149403478315
MG1655,c1_3,1,3,1.3800972064194243
MG1655,c2_3,2,3,1.30878556135093
MG1655,c3_3,3,3,1.3261059470875542
pSC101,c1_1,1,1,1.1274102600525722
pSC101,c2_1,2,1,1.0672664072655713
pSC101,c3_1,3,1,1.0602480007543105
pSC101,c1_2,1,2,1.1369987527417464
pSC101,c2_2,2,2,1.0864855276899843
pSC101,c3_2,3,2,1.040836699437748
pSC101,c1_3,1,3,1.132943347753057
pSC101,c2_3,2,3,1.069265497484801
pSC101,c3_3,3,3,1.0383986304478832
colE1,c1_1,1,1,1.1983880541122993
colE1,c2_1,2,1,1.147858521590652
colE1,c3_1,3,1,1.1419603054046745
colE1,c1_2,1,2,1.217494587419286
colE1,c2_2,2,2,1.1131841301876362
colE1,c3_2,3,2,1.209487111135358
colE1,c1_3,1,3,1.2583014958391867
colE1,c2_3,2,3,1.1237377185234845
colE1,c3_3,3,3,1.233730015317601
pUC,c1_1,1,1,1.0930793361973647
pUC,c2_1,2,1,1.30800635507647
pUC,c3_1,3,1,1.126021103632666
pUC,c1_2,1,2,1.090817650013726
pUC,c2_2,2,2,1.2989103902652057
pUC,c3_2,3,2,1.1928957904597635
pUC,c1_3,1,3,1.0708159119473206
pUC,c2_3,2,3,1.2870588408747548
pUC,c3_3,3,3,1.0768117654194893
