time,mean_noAb_rep1,se_noAb_rep1,mean_noAb_rep2,se_noAb_rep2,mean_noAb_rep3,se_noAb_rep3,mean_Ab_rep1,se_Ab_rep1,mean_Ab_rep2,se_Ab_rep2,mean_Ab_rep3,se_Ab_rep3
0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0
2,16.27906976744186,1.9697754301216133,11.153846153846153,1.5826024264200536,17.83783783783784,1.52845508943583,16.27906976744186,1.9697754301216133,11.153846153846153,1.5826024264200536,17.83783783783784,1.52845508943583
3,8.736263736263737,1.2872346181022192,5.343915343915343,0.47401058691654696,6.490066225165563,0.8727784353449113,111.76470588235293,14.740634187877419,104.67289719626169,9.024541225762402,109.6551724137931,3.024970273483947
7,1.3888888888888886,0.71112301663452,1.0362694300518134,0.519579344256765,2.2304832713754648,0.6693809176042254,62.08791208791209,6.084886303549816,92.35668789808918,6.4578516012034815,72.8723404255319,8.533196048971648
10,1.3618677042801557,0.5212899843219307,0.8264462809917353,0.9054824036960142,0.5649717514124293,0.28355234788368705,113.43669250645995,22.18285920220266,68.6111111111111,13.209066243031824,66.51270207852194,4.587030438142119
15,0.1,0.033150319584810295,0.1,,0.1,,54.411764705882355,9.562792011940067,93.47826086956522,10.767824716511472,92.38095238095238,17.236564960613403
20,0.1,0.007218727973292546,0.1,0.0025994305496831686,0.1,0.0021685626495732036,61.46788990825687,8.692110629933408,70.6896551724138,15.693017490503463,67.5,11.017091362212321
25,0.1,0.0007784755652562315,0.1,0.0002598780340709707,0.1,3.999239853388772e-05,64.73214285714286,8.604604495619972,50.69686411149826,4.294769471028282,68.61702127659575,7.091039977268575
30,0.1,0.00029491681988358403,0.1,0.0004162070828192633,0.1,6.24277380965177e-05,63.4920634920635,5.285378356210174,54.71698113207547,4.235971691603182,42.95774647887323,5.365176010673051
36,0.1,,0.1,4.38213166040362e-06,0.1,2.4218227957499036e-05,27.102803738317757,4.00861752109121,26.27118644067797,5.932168610821549,18.181818181818183,5.095953370161412
