,Barcodes,9-13,10-13,11-13,12-13,13-13,14-13,15-13,16-13,9-14,10-14,11-14,12-14,13-14,14-14,15-14,16-14,9-15,10-15,11-15,12-15,13-15,14-15,15-15,16-15,9-16,10-16,11-16,12-16,13-16,14-16,15-16,16-16,9-17,10-17,11-17,12-17,13-17,14-17,15-17,16-17,9-18,10-18,11-18,12-18,13-18,14-18,15-18,16-18,9-19,10-19,11-19,12-19,13-19,14-19,15-19,16-19,9-20,10-20,11-20,12-20,13-20,14-20,15-20,16-20,9-21,10-21,11-21,12-21,13-21,14-21,15-21,16-21,9-22,10-22,11-22,12-22,13-22,14-22,15-22,16-22,9-23,10-23,11-23,12-23,13-23,14-23,15-23,16-23,9-24,10-24,11-24,12-24,13-24,14-24,15-24,16-24
0,1,3212,2380,5,1,3,1,0,0,1,1212,15,0,1,0,0,0,2,2641,2,0,5,0,0,0,4131,20013,681,1318,13,1,3,1,4104,20209,2868,4966,1474,6,1,3,4750,21735,490,1279,2215,5,2,0,8,270,0,1,1,0,0,0,3,61,5,3,0,0,0,0,5,24,0,1,0,0,0,0,5,6714,1768,138,5,1,2,2,3,6305,4352,2315,2992,3,2,1,1,2788,706,2116,1766,2,0,1
1,2,249,98,2,0,0,0,0,0,0,155,0,0,0,0,0,0,0,166,0,0,0,0,0,1,300,6,0,0,0,0,0,0,347,13,0,0,0,0,0,0,332,16,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,271,243,11,0,1,0,0,0,1,296,1459,5133,84,1,3,2,1,257,4,0,0,0,0,0,348,10,0,0,0,0,0,0,430,13,1,0,0,0,0,0,363,12,0,0,0,0,0,0,0,177,4,0,0,0,0,0,1,126,8327,725,30,1,2,0,1,179,0,0,0,0,0,0,2,5,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,4,572,195,3,0,0,0,0,0,0,274,0,0,0,0,0,0,0,245,21,5,1,0,0,0,400,11,0,0,0,0,0,0,409,14,0,0,0,0,0,0,414,15,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,32,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,143,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,55,1,0,0,0,0,0,0,27,5,0,0,0,0,0,0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,153,129,18,0,0,0,0,0,1,183,4,0,0,0,0,0,0,184,11,0,0,0,0,0,224,10,0,0,0,0,0,0,274,8,0,0,0,0,0,0,245,10,0,0,0,0,0,0,0,193,4,0,0,0,0,0,0,90,1,0,0,0,0,0,1,165,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
6,7,202,215,4606,17674,2837,6,5,2,0,283,1305,9864,283,2,2,2,1,272,25,1,3,0,0,0,281,7,0,2,0,0,0,0,356,6,0,2,0,0,0,0,326,8,0,0,0,0,0,0,0,472,22754,6377,6841,11,4,4,1,278,9275,1367,50,2,2,0,2,592,6,0,0,0,0,1,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7,8,234,117,1,0,0,0,0,0,0,144,0,0,0,0,0,0,0,98,1,0,0,0,0,0,105,43,0,0,0,0,0,0,88,7,0,0,0,0,0,0,62,10,1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,345,151,2,0,0,0,0,0,0,117,0,0,0,0,0,0,0,175,1,0,0,0,0,0,239,11,0,0,0,0,0,0,173,16,0,1,0,0,0,0,221,13,0,0,0,0,0,0,0,70,0,0,0,0,0,0,1,15,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
9,10,129,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,11,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,161,109,43,12,1,0,0,0,0,133,5,0,0,0,0,0,0,136,8,0,0,0,0,0,191,3,0,0,0,0,0,0,184,4,0,0,0,0,0,0,168,6,7,3,0,0,0,0,0,163,44,0,0,0,0,0,0,61,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,5,1,0,0,0,0
11,12,138,65,1,0,0,0,0,0,0,84,1,0,0,0,0,0,0,90,0,0,0,0,0,0,83,1,0,0,0,0,0,0,109,5,0,0,0,0,0,0,101,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
