# Barcode	Count
1	270
10	0
11	163
12	11
13	6
14	3
15	10049
16	287
17	18
18	324
19	430
2	18
20	0
21	178
22	0
23	14
24	0
25	0
26	269
27	4
28	127
29	1138
3	177
30	299
31	156
32	0
33	1
34	0
35	35
36	16
37	0
38	110
39	312
4	86
40	13
41	0
42	0
43	0
44	46
45	0
46	12
47	36
49	0
5	0
50	435
51	96
52	0
53	44
54	222
55	0
56	148
57	310
58	233
59	0
6	193
60	89
61	472
62	0
63	0
64	6
65	108
66	0
67	0
68	90
7	472
70	293
71	0
72	0
73	49
74	0
75	95
76	1370
77	321
78	124
79	230
8	36
80	34
81	43
82	178
83	335
84	0
85	297
86	0
87	64
88	415
89	4
9	70
90	0
91	33
92	0
93	0
94	0
95	98
96	512
unmatched	293
total	22420
