# Barcode	Count
1	2870
10	38
11	101
12	81
13	164
14	196
15	337
16	155
17	148
18	164
19	76
2	245
20	78
21	85
22	90
23	52
24	61
25	94
26	243
27	90
28	145
29	173
3	242
30	174
31	107
32	4
33	91
34	118
35	54
36	163
37	149
38	266
39	177
4	321
40	123
41	52
42	0
43	52
44	70
45	78
46	227
47	88
49	71
5	58
50	420
51	202
52	105
53	139
54	177
55	90
56	252
57	166
58	139
59	92
6	138
60	107
61	135
62	0
63	77
64	22
65	193
66	61
67	138
68	131
7	215
70	123
71	81
72	137
73	131
74	0
75	205
76	146
77	236
78	112
79	97
8	86
80	155
81	71
82	119
83	129
84	88
85	140
86	0
87	169
88	143
89	103
9	184
90	80
91	65
92	0
93	0
94	0
95	163
96	117
unmatched	152758
total	167208
