# Barcode	Count
1	148
10	2
11	7
12	5
13	9
14	11
15	349
16	5
17	13
18	18
19	12
2	9
20	6
21	10
22	2
23	2
24	5
25	4
26	26
27	9
28	10
29	59
3	12
30	7
31	4
32	0
33	4
34	6
35	10
36	10
37	11
38	18
39	20
4	25
40	12
41	9
42	0
43	8
44	5
45	3
46	13
47	2
49	6
5	5
50	42
51	11
52	3
53	0
54	19
55	1
56	17
57	10
58	3
59	8
6	12
60	4
61	6
62	0
63	3
64	3
65	3
66	10
67	6
68	7
7	717
70	7
71	1
72	8
73	614
74	0
75	10
76	137
77	3
78	5
79	3
8	6
80	8
81	8
82	6
83	10
84	4
85	11
86	0
87	8
88	13
89	1
9	10
90	9
91	10
92	0
93	0
94	0
95	4
96	10
unmatched	84509
total	87211
