# Barcode	Count
1	805
10	1
11	14
12	4
13	15
14	4
15	1499
16	11
17	6
18	15
19	14
2	9
20	4
21	7
22	2
23	1
24	4
25	3
26	44
27	4
28	71
29	265
3	120
30	19
31	11
32	0
33	11
34	2
35	2
36	11
37	6
38	20
39	20
4	14
40	11
41	0
42	0
43	2
44	5
45	1
46	17
47	5
49	5
5	3
50	43
51	17
52	7
53	7
54	69
55	6
56	19
57	16
58	26
59	4
6	11
60	10
61	13
62	0
63	3
64	2
65	13
66	5
67	4
68	7
7	570
70	11
71	3
72	5
73	1372
74	0
75	9
76	2551
77	17
78	4
79	21
8	8
80	8
81	6
82	16
83	11
84	3
85	14
86	0
87	11
88	24
89	2
9	7
90	6
91	5
92	0
93	0
94	0
95	6
96	9
unmatched	1709389
total	1717457
