delta,condition,community
-0.09697732882142164,no pulse,Comm87
-0.1390539638035842,no pulse,Comm87
-0.12480926236064727,no pulse,Comm87
0.7001076901893216,+Ab,Comm87
0.6466546063888452,+Ab,Comm87
0.6284242526969713,+Ab,Comm87
0.03783012383549871,no pulse,Comm57_R6K_100
0.03387443177101275,no pulse,Comm57_R6K_100
0.034976069939118684,no pulse,Comm57_R6K_100
0.8753850347400693,+Ab,Comm57_R6K_100
0.8065316726091443,+Ab,Comm57_R6K_100
0.9113581712926164,+Ab,Comm57_R6K_100
-0.10570668943977075,no pulse,Comm57_pCU1_100
-0.0813998577239782,no pulse,Comm57_pCU1_100
-0.08473406718058206,no pulse,Comm57_pCU1_100
0.40542571714595677,+Ab,Comm57_pCU1_100
0.4687231156888684,+Ab,Comm57_pCU1_100
0.4559286559648611,+Ab,Comm57_pCU1_100
-0.12268808334467532,no pulse,Comm57_R388_100
-0.10523723832369272,no pulse,Comm57_R388_100
-0.09260695919014628,no pulse,Comm57_R388_100
0.5459566847079211,+Ab,Comm57_R388_100
0.5360993176733314,+Ab,Comm57_R388_100
0.5195332007037556,+Ab,Comm57_R388_100
-0.171262709773776,no pulse,Comm57_RP4_100
-0.28292020464374146,no pulse,Comm57_RP4_100
-0.1485063748245845,no pulse,Comm57_RP4_100
-0.4410273037553472,+Ab,Comm57_RP4_100
-0.5473646427737944,+Ab,Comm57_RP4_100
-0.47994965719966043,+Ab,Comm57_RP4_100
