time,mean_noAb_rep1,se_noAb_rep1,mean_noAb_rep2,se_noAb_rep2,mean_noAb_rep3,se_noAb_rep3,mean_Ab_rep1,se_Ab_rep1,mean_Ab_rep2,se_Ab_rep2,mean_Ab_rep3,se_Ab_rep3
0,6786.066652754672,0.0,6786.066652754672,0.0,6786.066652754672,0.0,6786.066652754672,0.0,6786.066652754672,0.0,6786.066652754672,0.0
1,9708.988017797614,7.583297923507,1708.1433913653652,2.9674793901996157,2198.8897413226878,3.4265979708056316,9708.988017797614,7.583297923507,1708.1433913653652,2.9674793901996157,2198.8897413226878,3.4265979708056316
2,5159.4982175516425,9.225827979372855,2652.693104359876,7.187907241589693,3158.636392507862,7.756307630188216,31404.510790427143,47.49877252600486,26446.734712019042,31.8220404389086,21526.339410475506,26.034980153417873
3,3927.234490225973,9.977224872107236,2040.3312621693055,6.862885879033464,3291.882113918374,7.18030705337535,23001.018557012998,13.152943364680654,15603.938707434434,9.206572066580572,16510.47904045638,9.845102566396802
4,1625.7706148005827,2.7813530548754337,877.9074236027741,2.622269694981643,3006.0801774986166,5.162805033931794,22260.320371483016,27.240584284043223,13847.021695193438,15.584706713310162,17198.010815741152,22.497470796485242
5,2121.2120591680086,3.1654812533318295,72.07915608927068,3.467452563408052,2666.0354369520714,3.489900655856929,21068.861326026556,8.351110680451235,13564.923170416441,5.3914763507541705,16442.4397706767,6.122510634741791
6,1372.3448932655233,3.7569369275994324,82.49946982820335,3.838152869117172,1419.5965833311482,3.9770140934825595,20838.583895575215,4.950013584091135,11054.058011536461,3.4641086891901343,11345.743355114771,3.4323312475698122
7,1671.8052412273908,4.770295137440162,59.04059168498421,5.322196617691051,263.5508486212294,5.390873620311213,21585.09768635785,20.059165147680005,9073.403817763334,8.128925481758271,9645.959486163223,10.149884764534798
8,1725.964721587792,1.3837863339053844,57.92958253376709,1.5047654695872936,123.25793142782292,1.401083851968542,25214.32659696479,6.647886320093451,8347.057105875054,2.15090242922375,10576.123385785546,2.4962424653588453
9,1426.3412943741616,2.3681166778296845,52.60971959608582,1.3874710899306948,58.068044076217284,1.3699186809135273,21467.06749588263,35.21061157215871,8986.136726736253,13.451444375679202,13755.201452736697,22.807597723290595
10,1153.154105905904,1.7918803197396935,68.10651320854556,2.1257393080322324,97.8142747885047,2.0921297911936776,22945.289628606904,11.457437525268357,8473.132445610681,3.8372605999801697,12128.029146193136,4.973576560785986
