time,mean_noAb_rep1,se_noAb_rep1,mean_noAb_rep2,se_noAb_rep2,mean_noAb_rep3,se_noAb_rep3,mean_Ab_rep1,se_Ab_rep1,mean_Ab_rep2,se_Ab_rep2,mean_Ab_rep3,se_Ab_rep3
0,1177.892896271732,0.0,1177.892896271732,0.0,1177.892896271732,0.0,1177.892896271732,0.0,1177.892896271732,0.0,1177.892896271732,0.0
1,947.5655331819939,2.041589515495094,1244.905231892793,2.0401996763328367,391.4861212584523,1.9307583053228445,947.5655331819939,2.041589515495094,1244.905231892793,2.0401996763328367,391.4861212584523,1.9307583053228445
2,0.1,7.005198247423783,405.6162335280168,6.644257580955741,169.85319559102913,6.1592880430705925,3577.3518311909797,8.209177859101258,3020.868172589904,7.246330881657936,2969.5517655489175,7.385955461463299
3,0.1,6.183986435616803,0.1,5.604753435463867,138.26502352320352,7.018877963325832,2447.5448515698486,11.155180090039153,1714.482724263326,6.949059818689168,1996.110118907636,7.277817596917736
4,0.1,2.1091369146997705,31.11602792870358,2.395618284392728,101.05971959339168,2.4343860053882684,2565.614095672697,4.62501962373546,1670.1122525701971,3.3684670988723027,1757.4802753685717,2.9384623995420993
5,0.1,3.1559415785767535,3.2431729443757433,3.4322518599164917,69.45759580737784,3.341331353631814,1680.6265839901628,3.6681836045937803,1154.5009729571127,2.9310980876703003,1446.7631515124108,3.0080959945467756
6,0.1,3.748369193363645,0.1,3.7320685341909385,45.952827497504,3.992419526872551,1139.3257252979413,4.4145518455021415,643.9755484809659,3.4429313390333336,723.8823736189446,3.448508587039777
7,0.1,4.623795456736874,0.1,4.544147912383509,58.68704943011158,4.921230238876561,803.6573861016084,5.017426933452162,393.38372500496513,4.480301685772984,413.8728180036082,4.181701482133572
8,0.1,1.3901473170337537,15.782611155809205,1.372407807334329,54.95289604769918,1.427434156306238,611.5691198614145,1.3616067015699336,215.30970424793216,1.082961036405145,189.45064171104121,1.152502073336257
9,0.1,1.1635629609807394,0.1,1.2587328744809287,60.3985077525718,1.2488911751912546,311.8351054746467,1.4276916207122445,159.07283621850993,1.1585846502799317,130.27555867651648,1.2165878828388599
10,9.471690608345718,1.8228320682817638,10.185604449848347,1.9602259133961273,80.25331850980828,1.8915196820220046,237.100811028211,2.2291914942906406,150.37241843702668,1.6237362584423274,113.22486384607934,1.7673716070717294
