time,mean_noAb_rep1,se_noAb_rep1,mean_noAb_rep2,se_noAb_rep2,mean_noAb_rep3,se_noAb_rep3,mean_Ab_rep1,se_Ab_rep1,mean_Ab_rep2,se_Ab_rep2,mean_Ab_rep3,se_Ab_rep3
0,968.5864034167154,0.0,968.5864034167154,0.0,968.5864034167154,0.0,968.5864034167154,0.0,968.5864034167154,0.0,968.5864034167154,0.0
1,700.1778713286858,1.9661433709171847,574.6760059832894,2.196930782509514,646.8366153655633,1.9697960224317197,700.1778713286858,1.9661433709171847,574.6760059832894,2.196930782509514,646.8366153655633,1.9697960224317197
2,440.18535331464653,7.629964982173409,178.63753466780045,6.679715313040087,307.5612630433541,6.840043059760877,2573.3197926186244,8.455953287407132,2719.2440598035996,7.437917864377004,2303.8999040804197,7.129730777882798
3,493.84253964603533,6.2236219768024155,0.1,6.119245031780713,215.25255813003113,6.603634597212091,1997.9552587000603,8.608039682116328,2627.4699417844654,9.810037219063785,2326.9789644557854,10.505398510025218
4,1326.720884742933,3.125311201287942,0.1,2.582253094918874,385.5258627486171,2.9854940483408487,2272.080370407001,3.986069475000817,2615.9505044565126,5.202001234608083,2046.8642064840544,4.9462224685483305
5,887.6741129523133,3.4610435645234574,0.1,3.714908749767342,0.1,3.6420778585893543,1855.3576278516077,3.3452943810422684,2391.6412563369704,3.6957376391496113,1819.724429648965,3.6672589930453734
6,874.5442084625581,4.109630546891261,0.1,3.533468873027905,0.1,3.9963996841147655,1480.6856066686069,3.782787922634347,2450.9866600379614,4.585841888986046,1986.6975975310559,4.803485966313293
7,1075.3829326109526,4.884035018391368,9.077940543879324,4.675861562982482,0.1,4.805800204915772,813.3063266663197,4.617027251984216,2498.4327500777486,5.582401049409795,1788.3671698990765,5.349254930835029
8,1206.2948777269644,1.4077212269016544,79.29653887709884,1.5704259569700378,54.67095030507703,1.366855461302767,873.7989739853514,1.3180422095561286,3454.3516628863376,1.7271043587208608,2459.7925891412806,1.5518549673282975
9,1663.5160427128844,2.819498984062895,63.824514143989965,1.2432676498109234,53.62256874732952,1.2214424542429243,873.7545812615384,1.9438542675140849,2911.7296797485455,5.304569388960524,2610.890021809446,4.863324973782026
10,1675.6698598829796,2.0065014348534747,89.18362502211679,1.980811913287779,61.52185928977987,1.869644573115079,1093.9474035086969,2.0517628414784808,2569.562553806704,2.740398365924223,2666.0236906648493,2.802448376347285
